identifier,compound,positive,neutral,negative,year
20817,0.856,0.10300000000000001,0.857,0.04,1950
20900,0.9918,0.188,0.767,0.044000000000000004,1950
20932,-0.9502,0.084,0.8,0.115,1950
20933,0.9978,0.16899999999999998,0.784,0.047,1950
21102,0.9809,0.099,0.841,0.06,1950
21564,0.991,0.15,0.782,0.068,1951
21567,0.9890000000000001,0.11699999999999999,0.8420000000000001,0.040999999999999995,1951
21759,0.997,0.10099999999999999,0.878,0.021,1951
22341,0.9865,0.135,0.846,0.019,1952
22445,0.9971,0.121,0.845,0.034,1952
22623,0.9315,0.122,0.7979999999999999,0.08,1953
22738,0.9955,0.096,0.867,0.037000000000000005,1953
23073,0.9981,0.136,0.8340000000000001,0.03,1953
23256,0.9558,0.10300000000000001,0.843,0.053,1953
23287,0.848,0.045,0.938,0.017,1953
23294,-0.8433,0.07,0.8440000000000001,0.086,1953
23445,0.8379,0.067,0.9329999999999999,0.0,1954
23756,0.9984,0.182,0.805,0.013000000000000001,1954
23879,0.9872,0.134,0.8390000000000001,0.027000000000000003,1954
23886,0.9927,0.11699999999999999,0.853,0.03,1954
23977,0.9690000000000001,0.13,0.8109999999999999,0.059000000000000004,1954
24004,0.7952,0.057999999999999996,0.9079999999999999,0.034,1954
24209,0.9605,0.063,0.893,0.044000000000000004,1955
24229,-0.5472,0.055,0.87,0.075,1955
24417,0.9845,0.11699999999999999,0.85,0.032,1955
24507,0.9848,0.109,0.865,0.026000000000000002,1955
24712,0.9743,0.12300000000000001,0.7959999999999999,0.081,1955
24893,0.9976,0.166,0.7929999999999999,0.042,1955
24960,0.9944,0.172,0.785,0.043,1955
25044,0.899,0.064,0.892,0.044000000000000004,1955
25157,0.9916,0.17300000000000001,0.769,0.057,1956
25209,0.9894,0.092,0.872,0.036000000000000004,1956
25295,0.9995,0.139,0.823,0.038,1956
25468,0.9451,0.1,0.9,0.0,1956
25492,0.9791,0.10800000000000001,0.8440000000000001,0.048,1956
25670,0.9847,0.10800000000000001,0.879,0.013000000000000001,1956
25695,0.998,0.13699999999999998,0.813,0.05,1956
25818,0.9977,0.122,0.835,0.042,1956
25873,0.8642,0.07200000000000001,0.879,0.049,1956
25877,0.9528,0.09300000000000001,0.8420000000000001,0.066,1956
25886,0.9479,0.085,0.883,0.032,1956
25967,0.9958,0.155,0.7809999999999999,0.064,1956
26039,0.9987,0.12300000000000001,0.826,0.051,1956
26098,0.9788,0.1,0.8640000000000001,0.036000000000000004,1956
26103,0.9836,0.09300000000000001,0.84,0.067,1956
26204,0.9462,0.08800000000000001,0.865,0.047,1957
26218,0.9991,0.132,0.838,0.028999999999999998,1957
26235,0.9972,0.13,0.8540000000000001,0.016,1957
26276,0.9949,0.11699999999999999,0.8370000000000001,0.046,1957
26464,0.9743,0.08800000000000001,0.866,0.046,1957
26573,0.9659,0.086,0.89,0.024,1957
26738,0.9952,0.11800000000000001,0.8390000000000001,0.042,1957
26828,0.9957,0.139,0.8029999999999999,0.057999999999999996,1957
26844,0.9951,0.11699999999999999,0.823,0.061,1957
26901,0.9962,0.155,0.8079999999999999,0.037000000000000005,1957
26932,0.9703,0.133,0.809,0.057999999999999996,1957
26984,0.9928,0.086,0.873,0.040999999999999995,1957
26986,0.9656,0.040999999999999995,0.9470000000000001,0.012,1957
26989,0.9991,0.129,0.843,0.027999999999999997,1957
27019,0.9979,0.11699999999999999,0.857,0.025,1957
27024,0.5514,0.07,0.8640000000000001,0.066,1957
27084,0.9954,0.07400000000000001,0.909,0.018000000000000002,1957
27110,0.7469,0.1,0.802,0.099,1957
27159,0.93,0.079,0.9,0.021,1958
27207,0.9932,0.14300000000000002,0.845,0.013000000000000001,1958
27290,0.9997,0.192,0.7809999999999999,0.027000000000000003,1958
27320,0.9667,0.10300000000000001,0.825,0.07200000000000001,1958
27385,0.8838,0.079,0.895,0.027000000000000003,1958
27471,0.9995,0.18100000000000002,0.7959999999999999,0.023,1958
27555,0.9989,0.157,0.775,0.068,1958
27618,0.9914,0.10800000000000001,0.8640000000000001,0.027999999999999997,1958
