identifier,compound,positive,neutral,negative,year
20787,0.9897,0.075,0.912,0.013000000000000001,1950
20788,0.9978,0.23,0.7440000000000001,0.025,1950
20792,0.9885,0.185,0.799,0.016,1950
20797,0.9986,0.171,0.778,0.051,1950
20800,0.9971,0.113,0.86,0.027000000000000003,1950
20803,0.9919,0.122,0.8590000000000001,0.019,1950
20809,0.9804,0.084,0.8740000000000001,0.042,1950
20810,0.9954,0.183,0.784,0.034,1950
20826,0.6927,0.067,0.892,0.042,1950
20833,0.9745,0.086,0.86,0.054000000000000006,1950
20838,0.9912,0.14,0.7829999999999999,0.077,1950
20841,0.982,0.121,0.8270000000000001,0.052000000000000005,1950
20843,0.9938,0.153,0.804,0.043,1950
20847,0.9885,0.109,0.879,0.012,1950
20848,0.5023,0.11800000000000001,0.7809999999999999,0.1,1950
20853,0.9640000000000001,0.076,0.872,0.052000000000000005,1950
20855,0.9793,0.145,0.826,0.028999999999999998,1950
20872,0.9352,0.10300000000000001,0.83,0.066,1950
20878,0.9136,0.131,0.785,0.084,1950
20886,-0.7426,0.07200000000000001,0.852,0.076,1950
20889,-0.3537,0.061,0.862,0.077,1950
20899,0.4255,0.078,0.851,0.071,1950
20901,0.7859,0.073,0.889,0.038,1950
20911,0.3637,0.114,0.779,0.10800000000000001,1950
20917,0.9976,0.151,0.802,0.047,1950
20918,0.9442,0.059000000000000004,0.92,0.021,1950
20922,0.3197,0.061,0.898,0.040999999999999995,1950
20924,0.2866,0.086,0.8370000000000001,0.077,1950
20925,0.9927,0.133,0.838,0.028999999999999998,1950
20929,0.802,0.08,0.8809999999999999,0.039,1950
20936,0.9929,0.102,0.866,0.032,1950
20942,0.9987,0.205,0.754,0.04,1950
20945,0.988,0.121,0.8340000000000001,0.045,1950
20948,0.9081,0.075,0.925,0.0,1950
20950,0.9941,0.129,0.8079999999999999,0.062,1950
20951,0.9971,0.125,0.868,0.008,1950
20953,0.9966,0.105,0.875,0.02,1950
20957,0.9811,0.153,0.8059999999999999,0.040999999999999995,1950
20961,0.9951,0.192,0.7559999999999999,0.053,1950
20963,0.9802,0.09,0.88,0.028999999999999998,1950
20967,0.9991,0.215,0.731,0.054000000000000006,1950
20971,0.4767,0.038,0.948,0.013000000000000001,1950
20978,-0.823,0.071,0.855,0.07400000000000001,1950
20994,0.9974,0.14400000000000002,0.835,0.021,1950
20996,-0.8322,0.14300000000000002,0.6890000000000001,0.168,1950
21002,0.9724,0.11900000000000001,0.828,0.054000000000000006,1950
21003,0.9814,0.095,0.8809999999999999,0.025,1950
21004,0.5106,0.055999999999999994,0.917,0.027000000000000003,1950
21007,0.9603,0.098,0.841,0.061,1950
21009,0.9973,0.17300000000000001,0.787,0.04,1950
21013,0.9935,0.095,0.87,0.035,1950
21019,0.9818,0.124,0.818,0.057,1950
21020,-0.9934,0.071,0.804,0.125,1950
21021,0.9796,0.10300000000000001,0.868,0.028999999999999998,1950
21023,0.9932,0.155,0.8059999999999999,0.039,1950
21029,0.9777,0.138,0.787,0.07400000000000001,1950
21038,0.9841,0.163,0.758,0.079,1950
21040,0.9857,0.11800000000000001,0.871,0.011000000000000001,1950
21052,0.9957,0.19699999999999998,0.7440000000000001,0.059000000000000004,1950
21057,0.9978,0.19399999999999998,0.7509999999999999,0.055,1950
21061,0.9549,0.076,0.877,0.047,1950
21063,0.8671,0.081,0.856,0.064,1950
21064,0.9792,0.113,0.862,0.025,1950
21067,0.992,0.147,0.799,0.054000000000000006,1950
21069,0.9717,0.071,0.8859999999999999,0.043,1950
21071,0.9121,0.099,0.8490000000000001,0.053,1950
21073,0.9428,0.081,0.858,0.061,1950
21074,0.9619,0.063,0.909,0.027999999999999997,1950
21077,0.9956,0.141,0.7979999999999999,0.062,1950
21080,0.9915,0.087,0.8809999999999999,0.032,1950
21083,0.9966,0.16699999999999998,0.8,0.033,1950
21088,0.9512,0.084,0.884,0.032,1950
21091,0.9832,0.11599999999999999,0.838,0.046,1950
21093,0.9622,0.08,0.877,0.044000000000000004,1950
21101,0.976,0.13,0.7879999999999999,0.08199999999999999,1950
21102,0.9809,0.099,0.841,0.06,1950
21104,0.9965,0.133,0.843,0.024,1950
21105,0.4084,0.044000000000000004,0.9059999999999999,0.05,1950
21106,0.9922,0.165,0.7290000000000001,0.106,1950
21110,0.9826,0.145,0.777,0.078,1950
21112,0.9881,0.077,0.889,0.033,1950
21114,0.8126,0.11900000000000001,0.773,0.10800000000000001,1950
21118,0.9717,0.091,0.8859999999999999,0.022000000000000002,1950
21121,0.9964,0.154,0.8079999999999999,0.038,1950
21122,0.9934,0.124,0.821,0.055999999999999994,1950
21125,0.9179999999999999,0.111,0.8079999999999999,0.08199999999999999,1950
21138,0.9991,0.188,0.785,0.027000000000000003,1950
21143,-0.7204,0.078,0.83,0.09300000000000001,1950
21153,0.9818,0.12300000000000001,0.861,0.016,1950
21158,0.7957,0.08199999999999999,0.862,0.055999999999999994,1950
21164,0.9935,0.162,0.7709999999999999,0.067,1950
21166,0.8187,0.087,0.8490000000000001,0.064,1950
21169,-0.8812,0.027999999999999997,0.8959999999999999,0.076,1950
21176,0.9745,0.099,0.8640000000000001,0.037000000000000005,1950
21178,0.9963,0.14,0.82,0.040999999999999995,1950
21180,0.9940000000000001,0.155,0.8190000000000001,0.026000000000000002,1950
21181,0.9902,0.1,0.8640000000000001,0.036000000000000004,1950
21184,0.9455,0.13,0.81,0.06,1950
21185,0.9971,0.147,0.8,0.053,1950
21188,0.9966,0.177,0.8109999999999999,0.012,1950
21190,-0.9655,0.083,0.8190000000000001,0.099,1950
21195,0.6940000000000001,0.057,0.917,0.026000000000000002,1950
21196,0.9915,0.145,0.787,0.068,1950
21198,0.9828,0.092,0.855,0.053,1950
21200,0.9986,0.168,0.792,0.04,1950
21206,0.9875,0.134,0.82,0.046,1950
21211,-0.9488,0.057,0.8109999999999999,0.132,1950
21214,0.9882,0.11900000000000001,0.8540000000000001,0.027000000000000003,1950
21222,0.9933,0.159,0.8,0.040999999999999995,1950
21225,0.9972,0.134,0.8320000000000001,0.034,1950
21226,0.9543,0.138,0.7959999999999999,0.066,1950
21228,-0.7579,0.0,0.9690000000000001,0.031,1950
21234,0.9955,0.264,0.685,0.051,1950
