identifier,compound,positive,neutral,negative,year
22057,0.9801,0.145,0.777,0.078,1952
22077,0.9846,0.10300000000000001,0.8220000000000001,0.075,1952
26161,0.9393,0.08900000000000001,0.8590000000000001,0.052000000000000005,1957
29472,0.912,0.078,0.889,0.033,1960
29506,0.9968,0.121,0.85,0.027999999999999997,1960
31871,0.9996,0.14,0.8190000000000001,0.040999999999999995,1962
32879,0.9958,0.177,0.767,0.057,1962
35038,0.9911,0.147,0.753,0.10099999999999999,1964
37131,0.9917,0.156,0.8,0.044000000000000004,1966
40865,0.9995,0.147,0.769,0.084,1969
43770,0.9966,0.113,0.8490000000000001,0.039,1972
44385,0.9915,0.129,0.785,0.087,1972
45172,0.9951,0.08,0.899,0.021,1973
46364,-0.9059999999999999,0.052000000000000005,0.8759999999999999,0.07200000000000001,1960
46915,0.9973,0.11199999999999999,0.8590000000000001,0.027999999999999997,1960
47050,0.988,0.128,0.797,0.075,1975
48245,0.9670000000000001,0.107,0.836,0.057,1976
48453,0.9973,0.125,0.797,0.078,1976
49453,0.9994,0.14,0.8270000000000001,0.033,1977
50447,-0.6756,0.122,0.759,0.11900000000000001,1978
52035,0.9977,0.138,0.768,0.094,1980
53031,0.9838,0.10800000000000001,0.858,0.035,1981
53078,0.9827,0.122,0.851,0.026000000000000002,1981
53188,-0.0928,0.071,0.858,0.07,1981
53192,0.7978,0.079,0.861,0.059000000000000004,1981
54130,0.9815,0.08800000000000001,0.904,0.006999999999999999,1981
54254,0.9959,0.11,0.86,0.03,1981
54384,0.4391,0.067,0.884,0.05,1982
54695,0.9948,0.149,0.838,0.012,1982
55293,0.9984,0.142,0.79,0.068,1982
56223,0.9964,0.14800000000000002,0.8370000000000001,0.013999999999999999,1983
56265,0.9959,0.127,0.787,0.086,1983
56511,0.9995,0.13699999999999998,0.813,0.051,1983
57080,0.9395,0.095,0.8590000000000001,0.046,1983
57531,0.9675,0.10300000000000001,0.8109999999999999,0.086,1984
58834,0.9965,0.09300000000000001,0.865,0.042,2000
59011,0.9468,0.12,0.8029999999999999,0.078,2000
59033,0.2705,0.067,0.875,0.059000000000000004,2000
59431,0.9723,0.09300000000000001,0.8740000000000001,0.033,2000
59856,0.7223,0.08199999999999999,0.856,0.062,1986
59923,0.4822,0.096,0.8420000000000001,0.062,1986
59949,0.9984,0.162,0.769,0.07,1986
60013,0.9988,0.136,0.81,0.054000000000000006,1986
60160,0.9945,0.12300000000000001,0.809,0.068,1986
60251,0.9912,0.162,0.807,0.031,1986
60283,0.1027,0.046,0.909,0.045,1986
60303,0.9977,0.152,0.8190000000000001,0.028999999999999998,1986
60347,0.9882,0.107,0.82,0.07200000000000001,1986
60722,0.9989,0.19,0.773,0.037000000000000005,1986
60759,0.9909,0.147,0.815,0.039,1987
60817,0.9907,0.106,0.8290000000000001,0.065,1987
60892,0.9829,0.11199999999999999,0.836,0.052000000000000005,1987
60895,0.5407,0.111,0.7829999999999999,0.106,1987
60978,0.7121,0.091,0.841,0.068,1987
61003,-0.8124,0.077,0.826,0.098,1987
61277,0.9918,0.172,0.82,0.008,1987
61297,0.9259999999999999,0.1,0.83,0.07,1987
61321,0.9222,0.079,0.885,0.035,1987
61328,0.9906,0.124,0.84,0.036000000000000004,1987
61514,0.9999,0.156,0.802,0.042,1987
61554,0.9995,0.16699999999999998,0.7909999999999999,0.042,1987
61608,0.9906,0.115,0.858,0.027000000000000003,1987
61763,-0.6626,0.042,0.9059999999999999,0.052000000000000005,1987
61827,0.9451,0.091,0.872,0.037000000000000005,1987
61876,0.9992,0.21,0.6659999999999999,0.124,1987
61901,0.9956,0.16399999999999998,0.7809999999999999,0.055,1987
61953,0.9773,0.11800000000000001,0.828,0.054000000000000006,1987
62046,0.2542,0.049,0.905,0.046,1988
62121,0.9977,0.13699999999999998,0.7959999999999999,0.067,1988
62126,0.9954,0.106,0.8320000000000001,0.062,1988
62310,0.8019,0.1,0.8240000000000001,0.076,1988
62316,0.9943,0.156,0.787,0.057,1988
62495,0.7366,0.095,0.8170000000000001,0.08800000000000001,1988
62502,0.9966,0.19899999999999998,0.723,0.079,1988
62649,0.9255,0.111,0.8170000000000001,0.07200000000000001,1988
62970,0.8338,0.086,0.866,0.049,1988
62993,0.938,0.08800000000000001,0.872,0.04,1988
63042,0.9889,0.092,0.8690000000000001,0.039,1988
63116,-0.9729,0.113,0.741,0.146,1988
63196,0.8854,0.075,0.8740000000000001,0.051,1989
63257,0.9973,0.12300000000000001,0.802,0.075,1989
63291,0.9987,0.159,0.816,0.025,1989
63339,0.9941,0.08900000000000001,0.8440000000000001,0.067,1989
63430,0.9967,0.124,0.821,0.055,1989
63462,0.9966,0.121,0.8109999999999999,0.067,1989
63492,-0.1386,0.10099999999999999,0.799,0.1,1989
63507,0.9948,0.1,0.8590000000000001,0.042,1989
63528,0.9967,0.096,0.887,0.017,1989
63546,0.9974,0.115,0.815,0.07,1989
63623,0.9952,0.127,0.795,0.079,1989
63630,0.9976,0.11599999999999999,0.84,0.044000000000000004,1989
63682,0.9977,0.115,0.856,0.027999999999999997,1989
63687,0.9961,0.13,0.797,0.073,1989
63705,0.9774,0.124,0.866,0.01,1989
63748,0.951,0.13699999999999998,0.752,0.111,1989
63772,0.9664,0.131,0.7909999999999999,0.078,1989
63840,0.9649,0.10099999999999999,0.8540000000000001,0.045,1989
63910,0.9777,0.043,0.9309999999999999,0.026000000000000002,1989
64169,0.9979,0.11900000000000001,0.848,0.033,1989
64181,0.9997,0.115,0.838,0.047,1989
64199,0.9883,0.114,0.8290000000000001,0.057999999999999996,1989
64244,0.9887,0.10400000000000001,0.85,0.046,1989
64398,0.3946,0.05,0.9159999999999999,0.034,1989
64418,0.667,0.08,0.8420000000000001,0.078,1989
64475,0.9993,0.133,0.8190000000000001,0.048,1989
64483,0.9966,0.07,0.889,0.040999999999999995,1989
64674,0.9686,0.08900000000000001,0.8440000000000001,0.067,1990
64680,0.9952,0.15,0.764,0.086,1990
64683,0.9388,0.09699999999999999,0.825,0.078,1990
64752,0.9974,0.153,0.773,0.07400000000000001,1990
64806,0.9885,0.109,0.845,0.047,1990
64808,0.9994,0.136,0.8370000000000001,0.027000000000000003,1990
64824,0.9962,0.14800000000000002,0.779,0.073,1990
64861,0.9998,0.147,0.777,0.076,1990
64864,0.9904,0.071,0.9229999999999999,0.006,1990
64872,0.9918,0.08199999999999999,0.882,0.036000000000000004,1990
64878,0.9684,0.083,0.88,0.038,1990
64894,0.9346,0.105,0.835,0.06,1990
64921,0.9516,0.08199999999999999,0.872,0.046,1990
64952,0.9811,0.078,0.8959999999999999,0.026000000000000002,1990
64953,0.9345,0.094,0.853,0.053,1990
64983,0.9934,0.14300000000000002,0.765,0.092,1990
65004,0.9883,0.128,0.7859999999999999,0.086,1990
65023,0.9902,0.113,0.8290000000000001,0.057999999999999996,1990
65042,0.9777,0.10300000000000001,0.8640000000000001,0.033,1990
65046,0.997,0.10400000000000001,0.851,0.045,1990
65047,0.9949,0.132,0.8029999999999999,0.065,1990
65048,0.9924,0.09,0.9009999999999999,0.01,1990
65089,0.9876,0.086,0.883,0.032,1990
65090,0.9884,0.10300000000000001,0.866,0.032,1990
65098,0.9906,0.091,0.855,0.054000000000000006,1990
65107,0.9955,0.084,0.902,0.013999999999999999,1990
65111,0.9486,0.066,0.892,0.042,1990
65118,0.9238,0.084,0.9159999999999999,0.0,1990
65168,-0.9799,0.055,0.853,0.092,1990
65174,0.992,0.106,0.863,0.032,1990
65234,0.9993,0.138,0.8290000000000001,0.033,1990
65236,0.9969,0.13,0.8140000000000001,0.055999999999999994,1990
65265,0.9956,0.096,0.87,0.035,1990
65305,0.9953,0.128,0.8190000000000001,0.053,1990
65370,0.8848,0.10099999999999999,0.8220000000000001,0.077,1990
65373,0.9966,0.161,0.765,0.075,1990
65392,0.9284,0.128,0.7709999999999999,0.10099999999999999,1990
65393,0.3503,0.052000000000000005,0.903,0.045,1990
65429,0.9938,0.11699999999999999,0.861,0.022000000000000002,1990
65454,0.9834,0.098,0.872,0.03,1990
65502,0.998,0.086,0.8540000000000001,0.06,1990
65537,0.9990000000000001,0.092,0.857,0.051,1990
65564,0.9977,0.094,0.855,0.051,1990
65584,0.9986,0.078,0.8859999999999999,0.036000000000000004,1990
65625,0.9958,0.125,0.816,0.059000000000000004,1990
65641,0.9956,0.10300000000000001,0.871,0.026000000000000002,1990
65654,0.9971,0.134,0.8140000000000001,0.052000000000000005,1990
65682,0.9692,0.114,0.785,0.10099999999999999,1990
65726,0.9891,0.141,0.795,0.064,1990
65762,0.9973,0.146,0.8079999999999999,0.046,1990
65783,0.8334,0.086,0.8390000000000001,0.075,1990
65811,0.997,0.092,0.894,0.013999999999999999,1990
65833,0.9976,0.105,0.825,0.07,1990
65867,-0.7388,0.084,0.8140000000000001,0.10099999999999999,1990
65895,-0.9883,0.10400000000000001,0.769,0.127,1990
65951,0.9741,0.096,0.858,0.046,1990
66014,0.997,0.145,0.795,0.059000000000000004,1990
66038,0.998,0.1,0.875,0.025,1990
66074,0.9914,0.115,0.8240000000000001,0.061,1990
66097,0.9888,0.111,0.857,0.032,1990
