identifier,compound,positive,neutral,negative,year
21108,0.9941,0.16,0.797,0.043,1950
21459,0.8622,0.067,0.89,0.043,1951
21500,0.9972,0.109,0.838,0.053,1951
21525,0.9899,0.14800000000000002,0.794,0.057999999999999996,1951
21717,0.9452,0.106,0.87,0.024,1951
21771,0.9917,0.102,0.8490000000000001,0.049,1951
21817,0.9962,0.107,0.8590000000000001,0.034,1951
21880,0.9961,0.128,0.812,0.06,1952
21909,0.9935,0.136,0.807,0.057,1952
21956,0.9994,0.18100000000000002,0.7709999999999999,0.048,1952
21972,0.9962,0.174,0.826,0.0,1952
22241,0.9944,0.14,0.77,0.09,1952
22245,0.9561,0.16,0.805,0.036000000000000004,1952
22334,0.9962,0.142,0.8420000000000001,0.016,1952
22593,0.9913,0.192,0.763,0.045,1953
22802,0.9658,0.146,0.818,0.036000000000000004,1953
22886,0.9965,0.124,0.8240000000000001,0.052000000000000005,1953
22897,0.9903,0.11199999999999999,0.836,0.052000000000000005,1953
23461,0.9947,0.132,0.845,0.023,1954
23524,0.9908,0.115,0.84,0.045,1954
23550,0.9698,0.076,0.8809999999999999,0.043,1954
23657,0.9721,0.105,0.848,0.047,1954
23961,0.9739,0.122,0.878,0.0,1954
24045,0.9891,0.127,0.7959999999999999,0.077,1954
24106,0.9886,0.096,0.855,0.049,1954
24114,0.9904,0.13699999999999998,0.813,0.05,1954
24198,0.9946,0.162,0.726,0.11199999999999999,1954
24222,0.7191,0.095,0.8240000000000001,0.081,1955
24390,0.9768,0.099,0.87,0.031,1955
24443,0.9963,0.17300000000000001,0.792,0.035,1955
24652,0.9931,0.134,0.8029999999999999,0.063,1955
24711,0.8211,0.10300000000000001,0.785,0.111,1955
24781,0.9975,0.165,0.8140000000000001,0.021,1955
24831,0.9967,0.14800000000000002,0.809,0.043,1955
24877,0.9893,0.133,0.777,0.08900000000000001,1955
24950,0.995,0.168,0.748,0.084,1955
25100,0.0,0.0,1.0,0.0,1955
25144,-0.9826,0.07,0.8420000000000001,0.087,1956
25184,0.9922,0.136,0.77,0.095,1956
25228,0.9942,0.10800000000000001,0.8340000000000001,0.057999999999999996,1956
25255,0.6323,0.053,0.927,0.021,1956
25432,0.9979,0.10300000000000001,0.851,0.046,1956
25477,0.9971,0.136,0.82,0.044000000000000004,1956
25622,0.9788,0.09699999999999999,0.8640000000000001,0.039,1956
25697,0.9891,0.155,0.805,0.04,1956
25762,0.9616,0.05,0.938,0.013000000000000001,1956
25903,0.9992,0.21600000000000003,0.753,0.031,1956
26095,0.8317,0.098,0.8320000000000001,0.069,1956
26148,0.9971,0.13699999999999998,0.8220000000000001,0.040999999999999995,1957
26159,0.9852,0.129,0.789,0.08199999999999999,1957
26166,0.9990000000000001,0.105,0.875,0.02,1957
26263,0.9965,0.126,0.8220000000000001,0.051,1957
26276,0.9949,0.11699999999999999,0.8370000000000001,0.046,1957
26353,0.9988,0.16699999999999998,0.772,0.061,1957
26429,0.9982,0.131,0.821,0.048,1957
26603,0.9829,0.135,0.813,0.052000000000000005,1957
26641,0.9686,0.129,0.79,0.081,1957
26740,0.8621,0.07200000000000001,0.9,0.027999999999999997,1957
26790,0.9989,0.129,0.8240000000000001,0.047,1957
26867,0.9981,0.17800000000000002,0.737,0.085,1957
26946,0.9972,0.126,0.835,0.039,1957
26982,0.9892,0.13699999999999998,0.8290000000000001,0.033,1957
27001,-0.9521,0.087,0.82,0.09300000000000001,1957
27019,0.9979,0.11699999999999999,0.857,0.025,1957
27024,0.5514,0.07,0.8640000000000001,0.066,1957
27141,0.9294,0.102,0.8859999999999999,0.012,1957
27150,0.9976,0.111,0.857,0.032,1958
27290,0.9997,0.192,0.7809999999999999,0.027000000000000003,1958
27367,0.9899,0.209,0.763,0.027999999999999997,1958
27408,0.8817,0.11,0.804,0.086,1958
27413,-0.9984,0.086,0.765,0.149,1958
27494,0.9953,0.11699999999999999,0.8140000000000001,0.07,1958
27667,0.873,0.075,0.89,0.035,1958
27694,0.9936,0.095,0.848,0.057,1958
27797,0.9973,0.10400000000000001,0.841,0.055,1958
28091,0.9973,0.132,0.8170000000000001,0.051,1958
28179,0.9208,0.091,0.835,0.073,1958
28213,0.9943,0.091,0.884,0.025,1959
28252,0.9153,0.08900000000000001,0.867,0.045,1959
28310,0.3467,0.055,0.903,0.042,1959
28375,0.973,0.177,0.754,0.068,1959
28378,0.9921,0.106,0.8290000000000001,0.065,1959
28384,0.838,0.091,0.863,0.045,1959
28405,0.9909,0.12300000000000001,0.867,0.01,1959
28522,0.9907,0.092,0.861,0.047,1959
28563,0.9987,0.13699999999999998,0.8140000000000001,0.049,1959
29360,0.9990000000000001,0.154,0.785,0.06,1960
29424,0.998,0.145,0.785,0.07,1960
29750,0.9914,0.244,0.6809999999999999,0.075,1960
29817,0.9964,0.14300000000000002,0.826,0.031,1960
30154,0.9876,0.16,0.804,0.036000000000000004,1960
30206,0.9996,0.17800000000000002,0.7859999999999999,0.036000000000000004,1960
30256,0.9992,0.131,0.821,0.047,1960
30260,0.9886,0.1,0.828,0.07200000000000001,1960
30358,0.9991,0.166,0.78,0.054000000000000006,1961
30583,0.9988,0.125,0.851,0.024,1961
30648,0.9719,0.1,0.882,0.017,1961
30667,0.9983,0.11199999999999999,0.867,0.022000000000000002,1961
30810,0.9987,0.161,0.769,0.07,1961
31133,0.9989,0.184,0.79,0.025,1961
31212,0.9901,0.1,0.872,0.027999999999999997,1961
31222,0.9917,0.11599999999999999,0.84,0.044000000000000004,1961
31223,0.9793,0.114,0.841,0.044000000000000004,1961
31351,0.9975,0.095,0.8759999999999999,0.028999999999999998,1961
31357,0.9874,0.055999999999999994,0.938,0.006,1961
31401,0.9365,0.154,0.7390000000000001,0.106,1961
31457,0.9996,0.159,0.797,0.044000000000000004,1961
31550,0.9984,0.115,0.851,0.033,1961
31586,0.9642,0.08900000000000001,0.8420000000000001,0.069,1961
31774,0.9968,0.133,0.772,0.095,1962
31801,0.9968,0.145,0.797,0.057,1962
31808,0.8974,0.11800000000000001,0.7859999999999999,0.096,1962
31865,0.9073,0.11599999999999999,0.789,0.095,1962
31921,0.9946,0.10099999999999999,0.861,0.038,1962
32006,0.9972,0.16699999999999998,0.799,0.034,1962
32115,0.9979,0.125,0.8240000000000001,0.051,1962
32175,0.9519,0.086,0.888,0.025,1962
32314,0.9992,0.161,0.79,0.049,1962
32499,0.9993,0.147,0.826,0.027000000000000003,1962
32554,-0.875,0.053,0.865,0.08199999999999999,1962
32935,0.9936,0.139,0.8190000000000001,0.042,1963
33052,0.9817,0.099,0.8759999999999999,0.025,1963
33264,0.9955,0.102,0.863,0.035,1963
33304,0.9933,0.146,0.8,0.054000000000000006,1963
33848,0.9958,0.111,0.852,0.037000000000000005,1963
33887,0.9990000000000001,0.11,0.861,0.028999999999999998,1963
33901,0.9976,0.10099999999999999,0.857,0.042,1963
33903,0.9938,0.098,0.87,0.032,1963
33912,0.9619,0.126,0.765,0.109,1963
34111,0.8442,0.048,0.938,0.013999999999999999,1963
34192,0.9938,0.171,0.794,0.035,1964
34290,0.9843,0.111,0.83,0.059000000000000004,1964
34565,-0.711,0.125,0.7240000000000001,0.151,1964
34716,0.9907,0.11800000000000001,0.799,0.08199999999999999,1964
35201,0.9886,0.115,0.805,0.08,1964
35254,0.9259999999999999,0.024,0.97,0.006,1964
35256,0.993,0.177,0.773,0.05,1964
35312,0.6494,0.062,0.893,0.045,1964
35428,0.9895,0.109,0.8140000000000001,0.078,1964
35525,0.9975,0.11199999999999999,0.816,0.07200000000000001,1965
35541,0.9990000000000001,0.121,0.857,0.021,1965
35717,0.4019,0.01,0.99,0.0,1965
35965,0.9899,0.14300000000000002,0.8,0.057,1965
36296,0.9877,0.071,0.9109999999999999,0.018000000000000002,1965
36404,0.9965,0.083,0.884,0.034,1965
36443,0.9802,0.09300000000000001,0.871,0.036000000000000004,1965
36511,0.9995,0.182,0.738,0.08,1965
36587,0.9804,0.102,0.857,0.040999999999999995,1965
36593,0.9246,0.091,0.833,0.076,1965
36624,0.9949,0.102,0.851,0.046,1965
36673,0.815,0.023,0.973,0.004,1965
36751,0.9871,0.109,0.861,0.03,1965
36894,0.9958,0.079,0.89,0.031,1966
37071,0.9942,0.13,0.835,0.035,1966
37349,0.9991,0.146,0.8109999999999999,0.044000000000000004,1966
37578,0.9984,0.17,0.743,0.087,1966
37602,-0.4854,0.066,0.853,0.081,1966
37648,0.9127,0.091,0.871,0.038,1966
37941,0.9662,0.106,0.8640000000000001,0.03,1966
37988,0.9857,0.124,0.851,0.025,1966
38057,0.7804,0.11199999999999999,0.7859999999999999,0.102,1967
38127,0.9918,0.14300000000000002,0.835,0.022000000000000002,1967
38339,0.9891,0.134,0.8270000000000001,0.039,1967
38350,0.9966,0.131,0.7929999999999999,0.076,1967
38562,0.9992,0.158,0.7929999999999999,0.049,1967
38667,0.9637,0.145,0.777,0.078,1967
38707,0.5016,0.055,0.9059999999999999,0.038,1967
38780,0.9991,0.14,0.8320000000000001,0.027999999999999997,1967
38799,0.9979,0.16899999999999998,0.753,0.078,1967
38820,0.9986,0.159,0.7909999999999999,0.05,1967
39124,0.9990000000000001,0.17,0.77,0.06,1967
39200,0.9674,0.052000000000000005,0.9359999999999999,0.013000000000000001,1967
39261,0.9881,0.1,0.838,0.062,1968
40572,0.9958,0.122,0.8320000000000001,0.047,1969
40573,0.9904,0.109,0.8109999999999999,0.08,1969
40602,0.9475,0.1,0.841,0.059000000000000004,1969
40654,0.995,0.13699999999999998,0.838,0.025,1969
40702,0.9951,0.12300000000000001,0.816,0.061,1969
40811,0.9966,0.115,0.848,0.037000000000000005,1969
41136,0.8531,0.067,0.9109999999999999,0.021,1969
41161,0.9556,0.066,0.8959999999999999,0.038,1969
41169,0.9977,0.155,0.807,0.038,1969
41204,0.9998,0.14300000000000002,0.841,0.016,1969
41239,0.9465,0.10800000000000001,0.812,0.079,1969
41438,0.9865,0.071,0.9079999999999999,0.021,1969
41507,0.9886,0.11900000000000001,0.818,0.063,1969
41540,0.9902,0.10400000000000001,0.8370000000000001,0.059000000000000004,1970
41552,0.9916,0.115,0.815,0.071,1970
41571,0.9538,0.111,0.81,0.078,1970
41589,0.955,0.11900000000000001,0.809,0.07200000000000001,1970
41620,0.9923,0.086,0.8959999999999999,0.018000000000000002,1970
41635,0.988,0.113,0.867,0.02,1970
41672,0.9967,0.17800000000000002,0.79,0.032,1970
41693,0.9933,0.073,0.9009999999999999,0.026000000000000002,1970
41735,0.9984,0.125,0.8170000000000001,0.057999999999999996,1970
41758,0.9559,0.065,0.919,0.016,1970
41762,0.9989,0.161,0.8009999999999999,0.039,1970
41786,0.9977,0.126,0.8420000000000001,0.032,1970
41801,0.9275,0.07,0.8759999999999999,0.054000000000000006,1970
41805,0.8603,0.073,0.879,0.048,1970
